date,adj_close,vol
2020-09-24 00:00:00-04:00,11.77,49163200
2020-09-25 00:00:00-04:00,12.29,43764000
2020-09-28 00:00:00-04:00,12.76,63558200
2020-09-29 00:00:00-04:00,12.25,46994300
2020-09-30 00:00:00-04:00,12.29,65428100
2020-10-01 00:00:00-04:00,12.58,48842000
2020-10-02 00:00:00-04:00,13.0,111883300
2020-10-05 00:00:00-04:00,13.12,53465500
2020-10-06 00:00:00-04:00,12.53,85252400
2020-10-07 00:00:00-04:00,13.07,61274200
2020-10-08 00:00:00-04:00,13.16,88851700
2020-10-09 00:00:00-04:00,13.2,65281000
2020-10-12 00:00:00-04:00,12.92,39852500
2020-10-13 00:00:00-04:00,12.22,63372200
2020-10-14 00:00:00-04:00,12.36,37500000
2020-10-15 00:00:00-04:00,12.23,33776100
2020-10-16 00:00:00-04:00,12.46,32717300
2020-10-19 00:00:00-04:00,12.56,50560700
2020-10-20 00:00:00-04:00,12.8,46748800
2020-10-21 00:00:00-04:00,12.75,37503600
2020-10-22 00:00:00-04:00,13.15,90788900
2020-10-23 00:00:00-04:00,12.6,90787900
2020-10-26 00:00:00-04:00,11.8,85349600
2020-10-27 00:00:00-04:00,11.23,65803400
2020-10-28 00:00:00-04:00,10.95,64399800
2020-10-29 00:00:00-04:00,11.16,44070600
2020-10-30 00:00:00-04:00,11.28,51284700
2020-11-02 00:00:00-05:00,11.19,41094500
2020-11-03 00:00:00-05:00,11.25,43775200
2020-11-04 00:00:00-05:00,11.01,45281300
2020-11-05 00:00:00-05:00,11.6,54890800
2020-11-06 00:00:00-05:00,11.46,36703700
2020-11-09 00:00:00-05:00,13.2,231326200
2020-11-10 00:00:00-05:00,12.38,127529300
2020-11-11 00:00:00-05:00,12.04,81359600
2020-11-12 00:00:00-05:00,11.74,75511700
2020-11-13 00:00:00-05:00,12.24,56421500
2020-11-16 00:00:00-05:00,12.79,104867800
2020-11-17 00:00:00-05:00,12.7,61956500
2020-11-18 00:00:00-05:00,12.74,99888500
2020-11-19 00:00:00-05:00,12.79,58809400
2020-11-20 00:00:00-05:00,12.53,58685500
2020-11-23 00:00:00-05:00,13.56,100764000
2020-11-24 00:00:00-05:00,14.82,156501000
2020-11-25 00:00:00-05:00,14.94,101052500
2020-11-27 00:00:00-05:00,14.98,66066400
2020-11-30 00:00:00-05:00,14.13,97536300
2020-12-01 00:00:00-05:00,14.27,76061200
2020-12-02 00:00:00-05:00,14.86,76032800
2020-12-03 00:00:00-05:00,16.09,169287200
2020-12-04 00:00:00-05:00,16.4,117387600
2020-12-07 00:00:00-05:00,17.21,157231900
2020-12-08 00:00:00-05:00,17.63,95855400
2020-12-09 00:00:00-05:00,17.16,138508300
2020-12-10 00:00:00-05:00,17.99,86395200
2020-12-11 00:00:00-05:00,17.05,106957300
2020-12-14 00:00:00-05:00,16.7,88139900
2020-12-15 00:00:00-05:00,17.01,88795200
2020-12-16 00:00:00-05:00,16.86,59232600
2020-12-17 00:00:00-05:00,16.8,49386300
2020-12-18 00:00:00-05:00,16.51,74782800
2020-12-21 00:00:00-05:00,16.1,87243800
2020-12-22 00:00:00-05:00,15.48,74627300
2020-12-23 00:00:00-05:00,15.89,62603800
2020-12-24 00:00:00-05:00,15.66,31048900
2020-12-28 00:00:00-05:00,16.06,61099000
2020-12-29 00:00:00-05:00,15.86,51559500
2020-12-30 00:00:00-05:00,16.15,49520200
2020-12-31 00:00:00-05:00,15.77,57891100
2021-01-04 00:00:00-05:00,15.13,69732500
2021-01-05 00:00:00-05:00,15.43,53368200
2021-01-06 00:00:00-05:00,15.52,63708000
2021-01-07 00:00:00-05:00,15.38,48187900
2021-01-08 00:00:00-05:00,15.13,55656400
2021-01-11 00:00:00-05:00,15.0,40545300
2021-01-12 00:00:00-05:00,15.38,45742400
2021-01-13 00:00:00-05:00,15.53,42629300
2021-01-14 00:00:00-05:00,16.44,79900900
2021-01-15 00:00:00-05:00,15.76,55175800
2021-01-19 00:00:00-05:00,15.97,39740200
2021-01-20 00:00:00-05:00,16.17,42354500
2021-01-21 00:00:00-05:00,15.83,50639200
2021-01-22 00:00:00-05:00,15.82,39126600
2021-01-25 00:00:00-05:00,15.43,61954500
2021-01-26 00:00:00-05:00,15.53,44571100
2021-01-27 00:00:00-05:00,16.56,178529000
2021-01-28 00:00:00-05:00,18.1,319607600
2021-01-29 00:00:00-05:00,17.17,113054800
2021-02-01 00:00:00-05:00,16.84,49436000
2021-02-02 00:00:00-05:00,16.59,39287800
2021-02-03 00:00:00-05:00,17.6,61414800
2021-02-04 00:00:00-05:00,17.4,37606800
2021-02-05 00:00:00-05:00,17.19,30910200
2021-02-08 00:00:00-05:00,17.77,44177500
2021-02-09 00:00:00-05:00,17.44,29972900
2021-02-10 00:00:00-05:00,17.41,28503000
2021-02-11 00:00:00-05:00,16.99,38746400
2021-02-12 00:00:00-05:00,17.27,27522500
2021-02-16 00:00:00-05:00,17.82,33615500
2021-02-17 00:00:00-05:00,17.99,35475700
2021-02-18 00:00:00-05:00,17.71,26328200
2021-02-19 00:00:00-05:00,18.68,48663800
2021-02-22 00:00:00-05:00,20.44,99937700
2021-02-23 00:00:00-05:00,20.66,78817600
2021-02-24 00:00:00-05:00,21.82,74610200
2021-02-25 00:00:00-05:00,20.86,65571000
2021-02-26 00:00:00-05:00,20.94,42397300
2021-03-01 00:00:00-05:00,21.18,45406100
2021-03-02 00:00:00-05:00,21.44,27558200
2021-03-03 00:00:00-05:00,22.17,49301300
2021-03-04 00:00:00-05:00,21.24,61124200
2021-03-05 00:00:00-05:00,20.45,63183900
2021-03-08 00:00:00-05:00,21.47,39776900
2021-03-09 00:00:00-05:00,21.6,39820400
2021-03-10 00:00:00-05:00,21.75,44224900
2021-03-11 00:00:00-05:00,22.15,39002400
2021-03-12 00:00:00-05:00,23.37,55260300
2021-03-15 00:00:00-04:00,25.17,93746800
2021-03-16 00:00:00-04:00,24.47,47923600
2021-03-17 00:00:00-04:00,25.16,38540100
2021-03-18 00:00:00-04:00,24.7,53228500
2021-03-19 00:00:00-04:00,24.97,49461200
2021-03-22 00:00:00-04:00,23.83,42676000
2021-03-23 00:00:00-04:00,22.27,55290700
2021-03-24 00:00:00-04:00,21.81,44703900
2021-03-25 00:00:00-04:00,22.77,49746900
2021-03-26 00:00:00-04:00,22.93,36972400
2021-03-29 00:00:00-04:00,22.91,30700100
2021-03-30 00:00:00-04:00,24.12,39747900
2021-03-31 00:00:00-04:00,23.9,29800300
